         hand_p2_b22  |                hand  |Hall A Neutron Detector, Plane 1 Bar 22  |                             0*cm -131.25*cm -5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4432 
         hand_p2_b23  |                hand  |Hall A Neutron Detector, Plane 1 Bar 23  |                             0*cm -143.75*cm -5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4454 
          hand_p3_b0  |                hand  |Hall A Neutron Detector, Plane 1 Bar 0  |                                0*cm 142.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0000   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4301 
          hand_p3_b1  |                hand  |Hall A Neutron Detector, Plane 1 Bar 1  |                                0*cm 127.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0080   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4301 
          hand_p3_b2  |                hand  |Hall A Neutron Detector, Plane 1 Bar 2  |                                0*cm 112.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0000   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4302 
          hand_p3_b3  |                hand  |Hall A Neutron Detector, Plane 1 Bar 3  |                                 0*cm 97.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0080   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4304 
          hand_p3_b4  |                hand  |Hall A Neutron Detector, Plane 1 Bar 4  |                                 0*cm 82.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0000   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4307 
          hand_p3_b5  |                hand  |Hall A Neutron Detector, Plane 1 Bar 5  |                                 0*cm 67.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0080   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4311 
          hand_p3_b6  |                hand  |Hall A Neutron Detector, Plane 1 Bar 6  |                                0*cm 53.75*cm 5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4316 
          hand_p3_b7  |                hand  |Hall A Neutron Detector, Plane 1 Bar 7  |                                0*cm 41.25*cm 5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4322 
          hand_p3_b8  |                hand  |Hall A Neutron Detector, Plane 1 Bar 8  |                                0*cm 28.75*cm 5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4329 
          hand_p3_b9  |                hand  |Hall A Neutron Detector, Plane 1 Bar 9  |                                0*cm 16.25*cm 5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4337 
         hand_p3_b10  |                hand  |Hall A Neutron Detector, Plane 1 Bar 10  |                                    0*cm 5*cm 5*cm  |                       0*deg 0*deg 0*deg  | 0000FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4346 
         hand_p3_b11  |                hand  |Hall A Neutron Detector, Plane 1 Bar 11  |                                   0*cm -5*cm 5*cm  |                       0*deg 0*deg 0*deg  | 0080FF   |                 Box  |                                         50*cm 4.9*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4356 
         hand_p3_b12  |                hand  |Hall A Neutron Detector, Plane 1 Bar 12  |                               0*cm -16.25*cm 5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4367 
         hand_p3_b13  |                hand  |Hall A Neutron Detector, Plane 1 Bar 13  |                               0*cm -28.75*cm 5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4379 
         hand_p3_b14  |                hand  |Hall A Neutron Detector, Plane 1 Bar 14  |                               0*cm -41.25*cm 5*cm  |                       0*deg 0*deg 0*deg  | 00FFFF   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4392 
         hand_p3_b15  |                hand  |Hall A Neutron Detector, Plane 1 Bar 15  |                               0*cm -53.75*cm 5*cm  |                       0*deg 0*deg 0*deg  | A9F5F2   |                 Box  |                                        50*cm 6.15*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4406 
         hand_p3_b16  |                hand  |Hall A Neutron Detector, Plane 1 Bar 16  |                                0*cm -67.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0000   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4421 
         hand_p3_b17  |                hand  |Hall A Neutron Detector, Plane 1 Bar 17  |                                0*cm -82.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0080   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4437 
         hand_p3_b18  |                hand  |Hall A Neutron Detector, Plane 1 Bar 18  |                                0*cm -97.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0000   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4454 
         hand_p3_b19  |                hand  |Hall A Neutron Detector, Plane 1 Bar 19  |                               0*cm -112.5*cm 5*cm  |                       0*deg 0*deg 0*deg  | FF0080   |                 Box  |                                         50*cm 7.4*cm 4.9*cm  |G4_PLASTIC_SC_VINYLTOLUENE  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                          id manual 4472 
